2026-02-17T18:11:23.275-05:00  INFO 676 --- [SIA] [restartedMain] com.example.SIA.SiaApplication           : Starting SiaApplication using Java 21.0.10 with PID 676 (C:\SIA1 - copia - M-A-I-A\target\classes started by ACER in C:\SIA1 - copia - M-A-I-A)
2026-02-17T18:11:23.293-05:00 DEBUG 676 --- [SIA] [restartedMain] com.example.SIA.SiaApplication           : Running with Spring Boot v3.3.4, Spring v6.1.13
2026-02-17T18:11:23.293-05:00  INFO 676 --- [SIA] [restartedMain] com.example.SIA.SiaApplication           : No active profile set, falling back to 1 default profile: "default"
2026-02-17T18:11:23.293-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.boot.SpringApplication               : Loading source class com.example.SIA.SiaApplication
2026-02-17T18:11:23.390-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.devtools.restart.ChangeableUrls    : Matching URLs for reloading : [file:/C:/SIA1%20-%20copia%20-%20M-A-I-A/target/classes/]
2026-02-17T18:11:23.390-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.d.settings.DevToolsSettings        : Included patterns for restart : []
2026-02-17T18:11:23.390-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.d.settings.DevToolsSettings        : Excluded patterns for restart : [/spring-boot-starter-[\w-]+/, /spring-boot/(bin|build|out)/, /spring-boot-starter/(bin|build|out)/, /spring-boot-devtools/(bin|build|out)/, /spring-boot-actuator/(bin|build|out)/, /spring-boot-autoconfigure/(bin|build|out)/]
2026-02-17T18:11:23.393-05:00  INFO 676 --- [SIA] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-02-17T18:11:23.393-05:00  INFO 676 --- [SIA] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-02-17T18:11:23.393-05:00 DEBUG 676 --- [SIA] [restartedMain] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@3b0e87bb
2026-02-17T18:11:23.430-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2026-02-17T18:11:23.450-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2026-02-17T18:11:23.543-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\config\AppConfig.class]
2026-02-17T18:11:23.543-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\config\NoCacheInterceptor.class]
2026-02-17T18:11:23.553-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\config\SecurityConfig.class]
2026-02-17T18:11:23.553-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\config\WebConfig.class]
2026-02-17T18:11:23.562-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\config\WebSocketConfig.class]
2026-02-17T18:11:23.627-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\controller\CertificadoController.class]
2026-02-17T18:11:23.627-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\controller\CustomErrorController.class]
2026-02-17T18:11:23.635-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\controller\DashboardController.class]
2026-02-17T18:11:23.635-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\controller\EmailController.class]
2026-02-17T18:11:23.643-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\controller\EquipoController.class]
2026-02-17T18:11:23.651-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\controller\FestivoController.class]
2026-02-17T18:11:23.651-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\controller\FormularioController.class]
2026-02-17T18:11:23.651-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\controller\HomeController.class]
2026-02-17T18:11:23.660-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\controller\LoginController.class]
2026-02-17T18:11:23.663-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\controller\MensajeController.class]
2026-02-17T18:11:23.663-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\controller\PQRSController.class]
2026-02-17T18:11:23.671-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\controller\ProgramacionController.class]
2026-02-17T18:11:23.671-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\controller\QRController.class]
2026-02-17T18:11:23.671-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\controller\RegistroController.class]
2026-02-17T18:11:23.671-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\controller\ReporteController.class]
2026-02-17T18:11:23.679-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\controller\TestErrorController.class]
2026-02-17T18:11:23.679-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\controller\UsuarioController.class]
2026-02-17T18:11:23.708-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\exception\GlobalExceptionHandler.class]
2026-02-17T18:11:23.717-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\observer\AdminNotificador.class]
2026-02-17T18:11:23.717-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\pattern\strategy\AjusteColombiaStrategy.class]
2026-02-17T18:11:23.726-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\repository\AprendizRepository.class]
2026-02-17T18:11:23.737-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\CertificadoService.class]
2026-02-17T18:11:23.745-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\EmailService.class]
